sample_key,recording_id,window_start_s,window_end_s,row_idx,model,embedding_dim,a2v_num_frames,a2v_trim_frames,window_labels,dominant_species,is_single_species,wav_path,waveform_samples,source_sr,cluster_id,representation,subset,k,aggregation
nips4b_birds_trainfile014_3_4,nips4b_birds_trainfile014,3.0,4.0,62,a2v,154368,201.0,0,carcan_call,carcan_call,True,/path/to/data,24000,24000,161,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile014_4_5,nips4b_birds_trainfile014,4.0,5.0,63,a2v,154368,201.0,0,carcan_call,carcan_call,True,/path/to/data,24000,24000,86,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile016_0_1,nips4b_birds_trainfile016,0.0,1.0,67,a2v,154368,201.0,0,cetcet_song,cetcet_song,True,/path/to/data,24000,24000,113,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile016_1_2,nips4b_birds_trainfile016,1.0,2.0,68,a2v,154368,201.0,0,cetcet_song,cetcet_song,True,/path/to/data,24000,24000,50,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile016_2_3,nips4b_birds_trainfile016,2.0,3.0,69,a2v,154368,201.0,0,cetcet_song,cetcet_song,True,/path/to/data,24000,24000,40,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile017_0_1,nips4b_birds_trainfile017,0.0,1.0,72,a2v,154368,201.0,0,parmaj_call,parmaj_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile017_1_2,nips4b_birds_trainfile017,1.0,2.0,73,a2v,154368,201.0,0,hirrus_call,hirrus_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile017_2_3,nips4b_birds_trainfile017,2.0,3.0,74,a2v,154368,201.0,0,hirrus_call,hirrus_call,True,/path/to/data,24000,24000,72,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile019_0_1,nips4b_birds_trainfile019,0.0,1.0,81,a2v,154368,201.0,0,phofem_song,phofem_song,True,/path/to/data,24000,24000,110,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile020_0_1,nips4b_birds_trainfile020,0.0,1.0,82,a2v,154368,201.0,0,carcan_call,carcan_call,True,/path/to/data,24000,24000,58,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile020_1_2,nips4b_birds_trainfile020,1.0,2.0,83,a2v,154368,201.0,0,carcan_call,carcan_call,True,/path/to/data,24000,24000,58,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile021_0_1,nips4b_birds_trainfile021,0.0,1.0,84,a2v,154368,201.0,0,fricoe_song,fricoe_song,True,/path/to/data,24000,24000,74,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile021_1_2,nips4b_birds_trainfile021,1.0,2.0,85,a2v,154368,201.0,0,fricoe_song,fricoe_song,True,/path/to/data,24000,24000,68,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile022_1_2,nips4b_birds_trainfile022,1.0,2.0,90,a2v,154368,201.0,0,carcar_song,carcar_song,True,/path/to/data,24000,24000,187,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile022_2_3,nips4b_birds_trainfile022,2.0,3.0,91,a2v,154368,201.0,0,carcar_song,carcar_song,True,/path/to/data,24000,24000,191,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile023_0_1,nips4b_birds_trainfile023,0.0,1.0,92,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,114,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile023_2_3,nips4b_birds_trainfile023,2.0,3.0,94,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,51,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile023_3_4,nips4b_birds_trainfile023,3.0,4.0,95,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,14,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile024_0_1,nips4b_birds_trainfile024,0.0,1.0,97,a2v,154368,201.0,0,sylmel_song,sylmel_song,True,/path/to/data,24000,24000,180,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile024_3_4,nips4b_birds_trainfile024,3.0,4.0,100,a2v,154368,201.0,0,sylmel_call,sylmel_call,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile025_0_1,nips4b_birds_trainfile025,0.0,1.0,102,a2v,154368,201.0,0,turmer_call,turmer_call,True,/path/to/data,24000,24000,153,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile026_0_1,nips4b_birds_trainfile026,0.0,1.0,104,a2v,154368,201.0,0,picpic_call,picpic_call,True,/path/to/data,24000,24000,0,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile027_0_1,nips4b_birds_trainfile027,0.0,1.0,108,a2v,154368,201.0,0,lusmeg_song,lusmeg_song,True,/path/to/data,24000,24000,17,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile027_1_2,nips4b_birds_trainfile027,1.0,2.0,109,a2v,154368,201.0,0,lusmeg_song,lusmeg_song,True,/path/to/data,24000,24000,10,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile027_2_3,nips4b_birds_trainfile027,2.0,3.0,110,a2v,154368,201.0,0,cetcet_song,cetcet_song,True,/path/to/data,24000,24000,13,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile027_3_4,nips4b_birds_trainfile027,3.0,4.0,111,a2v,154368,201.0,0,cetcet_song,cetcet_song,True,/path/to/data,24000,24000,91,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile027_4_5,nips4b_birds_trainfile027,4.0,5.0,112,a2v,154368,201.0,0,cetcet_song,cetcet_song,True,/path/to/data,24000,24000,164,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile028_0_1,nips4b_birds_trainfile028,0.0,1.0,113,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,20,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile028_1_2,nips4b_birds_trainfile028,1.0,2.0,114,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,20,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile029_0_1,nips4b_birds_trainfile029,0.0,1.0,115,a2v,154368,201.0,0,sylmel_call,sylmel_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile029_1_2,nips4b_birds_trainfile029,1.0,2.0,116,a2v,154368,201.0,0,sylmel_call,sylmel_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile031_0_1,nips4b_birds_trainfile031,0.0,1.0,124,a2v,154368,201.0,0,turphi_song,turphi_song,True,/path/to/data,24000,24000,134,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile031_1_2,nips4b_birds_trainfile031,1.0,2.0,125,a2v,154368,201.0,0,turphi_song,turphi_song,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile031_4_5,nips4b_birds_trainfile031,4.0,5.0,128,a2v,154368,201.0,0,turphi_song,turphi_song,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile033_0_1,nips4b_birds_trainfile033,0.0,1.0,134,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,42,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile033_1_2,nips4b_birds_trainfile033,1.0,2.0,135,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,182,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile033_2_3,nips4b_birds_trainfile033,2.0,3.0,136,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,111,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile033_3_4,nips4b_birds_trainfile033,3.0,4.0,137,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile034_0_1,nips4b_birds_trainfile034,0.0,1.0,139,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,41,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile034_1_2,nips4b_birds_trainfile034,1.0,2.0,140,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,132,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile034_3_4,nips4b_birds_trainfile034,3.0,4.0,142,a2v,154368,201.0,0,petpet_song,petpet_song,True,/path/to/data,24000,24000,42,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile034_4_5,nips4b_birds_trainfile034,4.0,5.0,143,a2v,154368,201.0,0,petpet_song,petpet_song,True,/path/to/data,24000,24000,48,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile035_0_1,nips4b_birds_trainfile035,0.0,1.0,144,a2v,154368,201.0,0,regign_song,regign_song,True,/path/to/data,24000,24000,183,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile035_1_2,nips4b_birds_trainfile035,1.0,2.0,145,a2v,154368,201.0,0,regign_song,regign_song,True,/path/to/data,24000,24000,189,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile035_2_3,nips4b_birds_trainfile035,2.0,3.0,146,a2v,154368,201.0,0,regign_song,regign_song,True,/path/to/data,24000,24000,189,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile037_0_1,nips4b_birds_trainfile037,0.0,1.0,154,a2v,154368,201.0,0,sylund_call,sylund_call,True,/path/to/data,24000,24000,51,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile037_1_2,nips4b_birds_trainfile037,1.0,2.0,155,a2v,154368,201.0,0,sylund_call,sylund_call,True,/path/to/data,24000,24000,114,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile037_2_3,nips4b_birds_trainfile037,2.0,3.0,156,a2v,154368,201.0,0,sylund_call,sylund_call,True,/path/to/data,24000,24000,74,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile037_3_4,nips4b_birds_trainfile037,3.0,4.0,157,a2v,154368,201.0,0,sylund_call,sylund_call,True,/path/to/data,24000,24000,114,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile038_0_1,nips4b_birds_trainfile038,0.0,1.0,159,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,14,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile038_1_2,nips4b_birds_trainfile038,1.0,2.0,160,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,18,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile038_2_3,nips4b_birds_trainfile038,2.0,3.0,161,a2v,154368,201.0,0,galthe_song,galthe_song,True,/path/to/data,24000,24000,10,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile039_1_2,nips4b_birds_trainfile039,1.0,2.0,163,a2v,154368,201.0,0,serser_song,serser_song,True,/path/to/data,24000,24000,18,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile039_2_3,nips4b_birds_trainfile039,2.0,3.0,164,a2v,154368,201.0,0,serser_song,serser_song,True,/path/to/data,24000,24000,18,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile039_3_4,nips4b_birds_trainfile039,3.0,4.0,165,a2v,154368,201.0,0,serser_song,serser_song,True,/path/to/data,24000,24000,18,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile040_0_1,nips4b_birds_trainfile040,0.0,1.0,167,a2v,154368,201.0,0,lopcri_call,lopcri_call,True,/path/to/data,24000,24000,134,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile041_3_4,nips4b_birds_trainfile041,3.0,4.0,175,a2v,154368,201.0,0,phycol_call,phycol_call,True,/path/to/data,24000,24000,47,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile041_4_5,nips4b_birds_trainfile041,4.0,5.0,176,a2v,154368,201.0,0,phycol_call,phycol_call,True,/path/to/data,24000,24000,184,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile042_0_1,nips4b_birds_trainfile042,0.0,1.0,177,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,49,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile042_1_2,nips4b_birds_trainfile042,1.0,2.0,178,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,18,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile042_2_3,nips4b_birds_trainfile042,2.0,3.0,179,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,10,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile043_1_2,nips4b_birds_trainfile043,1.0,2.0,181,a2v,154368,201.0,0,parcae_call,parcae_call,True,/path/to/data,24000,24000,52,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile043_2_3,nips4b_birds_trainfile043,2.0,3.0,182,a2v,154368,201.0,0,anttri_song,anttri_song,True,/path/to/data,24000,24000,20,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile045_1_2,nips4b_birds_trainfile045,1.0,2.0,191,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,124,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile045_2_3,nips4b_birds_trainfile045,2.0,3.0,192,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,33,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile045_3_4,nips4b_birds_trainfile045,3.0,4.0,193,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,15,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile046_0_1,nips4b_birds_trainfile046,0.0,1.0,195,a2v,154368,201.0,0,sylatr_call,sylatr_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile046_1_2,nips4b_birds_trainfile046,1.0,2.0,196,a2v,154368,201.0,0,sylatr_call,sylatr_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile046_2_3,nips4b_birds_trainfile046,2.0,3.0,197,a2v,154368,201.0,0,sylatr_call,sylatr_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile046_3_4,nips4b_birds_trainfile046,3.0,4.0,198,a2v,154368,201.0,0,sylatr_call,sylatr_call,True,/path/to/data,24000,24000,96,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile046_4_5,nips4b_birds_trainfile046,4.0,5.0,199,a2v,154368,201.0,0,sylatr_call,sylatr_call,True,/path/to/data,24000,24000,147,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile047_0_1,nips4b_birds_trainfile047,0.0,1.0,200,a2v,154368,201.0,0,fricoe_song,fricoe_song,True,/path/to/data,24000,24000,20,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile047_1_2,nips4b_birds_trainfile047,1.0,2.0,201,a2v,154368,201.0,0,fricoe_song,fricoe_song,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile047_2_3,nips4b_birds_trainfile047,2.0,3.0,202,a2v,154368,201.0,0,erirub_song,erirub_song,True,/path/to/data,24000,24000,109,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile047_3_4,nips4b_birds_trainfile047,3.0,4.0,203,a2v,154368,201.0,0,erirub_song,erirub_song,True,/path/to/data,24000,24000,116,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile047_4_5,nips4b_birds_trainfile047,4.0,5.0,204,a2v,154368,201.0,0,erirub_song,erirub_song,True,/path/to/data,24000,24000,22,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile048_0_1,nips4b_birds_trainfile048,0.0,1.0,205,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,20,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile048_1_2,nips4b_birds_trainfile048,1.0,2.0,206,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,182,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile048_2_3,nips4b_birds_trainfile048,2.0,3.0,207,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,74,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile048_3_4,nips4b_birds_trainfile048,3.0,4.0,208,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,48,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile048_4_5,nips4b_birds_trainfile048,4.0,5.0,209,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,180,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile049_2_3,nips4b_birds_trainfile049,2.0,3.0,212,a2v,154368,201.0,0,pasdom_call,pasdom_call,True,/path/to/data,24000,24000,56,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile049_3_4,nips4b_birds_trainfile049,3.0,4.0,213,a2v,154368,201.0,0,pasdom_call,pasdom_call,True,/path/to/data,24000,24000,49,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile049_4_5,nips4b_birds_trainfile049,4.0,5.0,214,a2v,154368,201.0,0,pasdom_call,pasdom_call,True,/path/to/data,24000,24000,47,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile050_2_3,nips4b_birds_trainfile050,2.0,3.0,217,a2v,154368,201.0,0,sylund_call,sylund_call,True,/path/to/data,24000,24000,68,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile050_4_5,nips4b_birds_trainfile050,4.0,5.0,219,a2v,154368,201.0,0,sylund_call,sylund_call,True,/path/to/data,24000,24000,68,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile051_3_4,nips4b_birds_trainfile051,3.0,4.0,223,a2v,154368,201.0,0,lusmeg_call,lusmeg_call,True,/path/to/data,24000,24000,14,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile052_0_1,nips4b_birds_trainfile052,0.0,1.0,225,a2v,154368,201.0,0,alaarv_song,alaarv_song,True,/path/to/data,24000,24000,152,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile054_0_1,nips4b_birds_trainfile054,0.0,1.0,232,a2v,154368,201.0,0,oriori_call,oriori_call,True,/path/to/data,24000,24000,198,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile054_1_2,nips4b_birds_trainfile054,1.0,2.0,233,a2v,154368,201.0,0,pelgra_call,pelgra_call,True,/path/to/data,24000,24000,186,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile058_2_3,nips4b_birds_trainfile058,2.0,3.0,244,a2v,154368,201.0,0,cerbra_song,cerbra_song,True,/path/to/data,24000,24000,130,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile060_1_2,nips4b_birds_trainfile060,1.0,2.0,253,a2v,154368,201.0,0,petpet_song,petpet_song,True,/path/to/data,24000,24000,90,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile062_0_1,nips4b_birds_trainfile062,0.0,1.0,256,a2v,154368,201.0,0,siteur_song,siteur_song,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile062_1_2,nips4b_birds_trainfile062,1.0,2.0,257,a2v,154368,201.0,0,siteur_song,siteur_song,True,/path/to/data,24000,24000,1,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile062_4_5,nips4b_birds_trainfile062,4.0,5.0,260,a2v,154368,201.0,0,regign_song,regign_song,True,/path/to/data,24000,24000,72,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile063_0_1,nips4b_birds_trainfile063,0.0,1.0,261,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,10,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile063_1_2,nips4b_birds_trainfile063,1.0,2.0,262,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,22,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile063_2_3,nips4b_birds_trainfile063,2.0,3.0,263,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,74,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile063_3_4,nips4b_birds_trainfile063,3.0,4.0,264,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,14,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile063_4_5,nips4b_birds_trainfile063,4.0,5.0,265,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,41,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile064_0_1,nips4b_birds_trainfile064,0.0,1.0,266,a2v,154368,201.0,0,oriori_call,oriori_call,True,/path/to/data,24000,24000,68,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile067_0_1,nips4b_birds_trainfile067,0.0,1.0,275,a2v,154368,201.0,0,plasab_song,plasab_song,True,/path/to/data,24000,24000,43,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile067_4_5,nips4b_birds_trainfile067,4.0,5.0,279,a2v,154368,201.0,0,plasab_song,plasab_song,True,/path/to/data,24000,24000,43,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile068_0_1,nips4b_birds_trainfile068,0.0,1.0,280,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,14,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile068_4_5,nips4b_birds_trainfile068,4.0,5.0,284,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,14,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile069_0_1,nips4b_birds_trainfile069,0.0,1.0,285,a2v,154368,201.0,0,plasab_song,plasab_song,True,/path/to/data,24000,24000,43,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile069_1_2,nips4b_birds_trainfile069,1.0,2.0,286,a2v,154368,201.0,0,plasab_song,plasab_song,True,/path/to/data,24000,24000,43,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile069_3_4,nips4b_birds_trainfile069,3.0,4.0,288,a2v,154368,201.0,0,plasab_song,plasab_song,True,/path/to/data,24000,24000,8,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile070_0_1,nips4b_birds_trainfile070,0.0,1.0,290,a2v,154368,201.0,0,galcri_call,galcri_call,True,/path/to/data,24000,24000,190,a2v_1s_vote,single,200,majority_vote
